Country, Suicides
Afghanistan,4.7
Albania,6.3
Algeria,3.2
Angola,4.7
Antigua and Barbuda,0.5
Argentina,9.2
Armenia,6.6
Australia,13.2
Austria,15.6
Azerbaijan,2.6
Bahamas,1.7
Bahrain,5.9
Bangladesh,5.9
Barbados,0.8
Belarus,26.2
Belgium,20.7
Belize,4.7
Benin,9.9
Bhutan,11.4
Bolivia (Plurinational State of),12.2
Bosnia and Herzegovina,8.8
Botswana,9.3
Brazil,6.5
Brunei Darussalam,4.6
Bulgaria,11.5
Burkina Faso,7.7
Burundi,9.1
Cabo Verde,11.3
Cambodia,5.3
Cameroon,12.2
Canada,12.5
Central African Republic,7.7
Chad,8.8
Chile,10.6
China,9.7
Colombia,7.2
Comoros,6.8
Congo,5.9
Costa Rica,7.9
C̫te d'Ivoire,14.5
Croatia,16.5
Cuba,13.9
Cyprus,5.3
Czechia,13.1
Democratic People's Republic of Korea,11.2
Democratic Republic of the Congo,5.7
Denmark,12.8
Djibouti,6.7
Dominican Republic,9.9
Ecuador,7.1
Egypt,4.0
El Salvador,13.7
Equatorial Guinea,16.4
Eritrea,7.9
Estonia,17.8
Eswatini,13.3
Ethiopia,7.2
Fiji,5.0
Finland,15.9
France,17.7
Gabon,7.1
Gambia,5.1
Georgia,8.2
Germany,13.6
Ghana,5.4
Greece,5.0
Grenada,1.7
Guatemala,2.7
Guinea,6.3
Guinea-Bissau,4.0
Guyana,29.2
Haiti,11.7
Honduras,2.9
Hungary,19.1
Iceland,14.0
India,16.3
Indonesia,3.4
Iran (Islamic Republic of),4.1
Iraq,3.0
Ireland,11.5
Israel,5.4
Italy,8.2
Jamaica,2.2
Japan,18.5
Jordan,2.9
Kazakhstan,22.5
Kenya,3.2
Kiribati,14.4
Kuwait,2.3
Kyrgyzstan,8.3
Lao People's Democratic Republic,8.6
Latvia,21.2
Lebanon,3.3
Lesotho,21.2
Liberia,6.8
Libya,5.2
Lithuania,31.9
Luxembourg,13.5
Madagascar,3.9
Malawi,3.7
Malaysia,5.5
Maldives,2.3
Mali,4.8
Malta,7.5
Mauritania,4.4
Mauritius,7.8
Mexico,5.1
Micronesia (Federated States of),11.1
Mongolia,13.0
Montenegro,10.3
Morocco,2.9
Mozambique,4.9
Myanmar,7.8
Namibia,8.7
Nepal,8.8
Netherlands,12.6
New Zealand,12.1
Nicaragua,12.2
Niger,4.6
Nigeria,9.5
Norway,12.2
Oman,3.9
Pakistan,2.9
Panama,4.3
Papua New Guinea,6.0
Paraguay,9.5
Peru,4.9
Philippines,3.2
Poland,16.2
Portugal,14.0
Qatar,6.6
Republic of Korea,26.9
Republic of Moldova,15.9
North Macedonia,7.9
Romania,10.4
Russian Federation,31.0
Rwanda,6.7
Saint Lucia,7.8
Saint Vincent and the Grenadines,2.4
Samoa,4.4
Sao Tome and Principe,2.3
Saudi Arabia,3.2
Senegal,6.0
Serbia,15.6
Seychelles,9.3
Sierra Leone,9.7
Singapore,9.9
Slovakia,12.8
Slovenia,18.6
Solomon Islands,4.7
Somalia,4.7
South Africa,11.6
South Sudan,3.7
Spain,8.7
Sri Lanka,14.6
Sudan,8.1
Suriname,22.8
Sweden,14.8
Switzerland,17.2
Syrian Arab Republic,1.9
Tajikistan,2.5
Thailand,14.4
Timor-Leste,4.6
Togo,9.6
Tonga,3.5
Trinidad and Tobago,13.6
Tunisia,3.4
Turkey,7.3
Turkmenistan,6.7
Uganda,9.9
Ukraine,22.4
United Arab Emirates,2.8
United Kingdom of Great Britain and Northern Ireland,8.9
United Republic of Tanzania,5.4
United States of America,15.3
Uruguay,18.4
Uzbekistan,7.4
Vanuatu,4.5
Venezuela (Bolivarian Republic of),3.7
Viet Nam,7.3
Yemen,8.5
Zambia,6.1
Zimbabwe,10.7
